"Iteration","R/W Ratio","Latency_ns","Bandwidth_MBps","Latency_cycles"
"1","100% Read","0","0","N/A"
"1","75% Read/ 25% Write","0","0","N/A"
"1","70% Read / 30% Write","0","0","N/A"
"1","50% Read / 50% Write","0","0","N/A"
"2","100% Read","0","0","N/A"
"2","75% Read/ 25% Write","0","0","N/A"
"2","70% Read / 30% Write","0","0","N/A"
"2","50% Read / 50% Write","0","0","N/A"
"3","100% Read","0","0","N/A"
"3","75% Read/ 25% Write","0","0","N/A"
"3","70% Read / 30% Write","0","0","N/A"
"3","50% Read / 50% Write","0","0","N/A"
